,Que,Category
84,Explain the concept of a skip list data structure and its applications in fast search and insertion operations.,DSA
85,Can you give an example of when you had to work with a team member who was resistant to change?,Behavioural
86,Explain the principles behind designing a system with a stateless architecture.,System_design
87,Tell me about a time when you successfully implemented a new process or procedure.,Behavioural
88,Tell me about a time when you had to collaborate with a team member who had a different work style.,Behavioural
89,What is the role of the random forest algorithm in feature selection?,AI
90,Can you describe the principles behind designing an effective disaster recovery plan for a system?,System_design
91,How do you handle database indexing in a system to optimize query performance?,System_design
92,How does the Apriori algorithm handle noise in transaction data?,AI
93,How do you design a system to handle data archiving and purging for efficient storage management?,System_design
94,Explain the concept of a disjoint-set data structure and its applications in solving connected components problems.,DSA
95,"Define the terms ""half-duplex"" and ""full-duplex"" in networking.",CS_fundamentals
96,Explain the concept of explainable AI (XAI).,AI
97,How does text classification enhance spam detection in emails?,AI
98,What is the significance of explainable AI (XAI)?,AI
99,"What is the purpose of a hash table, and how does it handle collisions to maintain efficient lookup times?",DSA
100,What is the role of named entity recognition (NER) in social network analysis?,AI
101,Explain the concept of sentiment analysis in online reviews.,AI
102,Explain the concept of process synchronization.,CS_fundamentals
103,Can you give an example of when you had to navigate through office politics to achieve a goal?,Behavioural
104,Explain the concept of cross-lingual word embeddings in NLP.,AI
105,Explain the purpose of a foreign key in a relational database.,CS_fundamentals
106,How would you design a system to handle data partitioning for efficient storage and retrieval?,System_design
107,"What is the purpose of a topological sort in directed acyclic graphs, and how is it applied in real-world scenarios?",DSA
108,What measures would you take to ensure data consistency in a system with eventual consistency?,System_design
109,"How does the AVL tree ensure balance during insertions and deletions, and what is its impact on search operations?",DSA
110,Discuss the challenges and solutions for ensuring data privacy in a system that processes personal information.,System_design
111,Can you share an example of when you had to motivate your team during a period of uncertainty?,Behavioural
112,Describe a moment when you had to lead a team through a period of uncertainty or change.,Behavioural
113,"What is a greedy algorithm, and can you provide an example where it is used?",DSA
114,What is the significance of named entity recognition (NER) in biomedical text mining?,AI
115,Discuss the considerations for designing a system that supports real-time collaboration features.,System_design
116,What is the purpose of an operating system?,CS_fundamentals
117,Can you outline the steps involved in designing a system with a message-driven architecture?,System_design
118,Explain the concept of a trie data structure and its applications in efficient string searching and indexing.,DSA
119,Explain the concept of a self-balancing red-black tree and how it maintains balance during insertions and deletions.,DSA
120,What is the purpose of the OSI model's Physical layer?,CS_fundamentals
121,Describe the working principles of the Kruskal's algorithm for finding a minimum spanning tree in a connected graph.,DSA
122,Explain the concept of a self-balancing red-black tree and its advantages in search and retrieval operations.,DSA
123,Can you discuss the considerations when designing a system that supports multi-region deployments?,System_design
124,How does the Rabin-Karp algorithm handle hash collisions during string matching?,DSA
125,Explain the working principles of the Ford-Fulkerson algorithm and its applications in solving the maximum flow problem.,DSA
126,How does AI contribute to image recognition?,AI
127,Discuss a project where you had to manage conflicting priorities between team members.,Behavioural
128,"How does the Dijkstra's algorithm handle graphs with negative weight edges, and what are the limitations?",DSA
129,How does the SQL JOIN operation combine data from multiple tables?,CS_fundamentals
130,Describe the working principles of the KMP (Knuth-Morris-Pratt) string matching algorithm and analyze its time complexity.,DSA
131,How does the SQL UPDATE statement modify data in a database?,CS_fundamentals
132,How do you handle situations where you don't agree with the decisions made by your team or organization?,Behavioural
133,What factors influence your decision on using a RESTful API vs. a GraphQL API in a system?,System_design
134,"Define the term ""database schema"" and explain its components.",CS_fundamentals
135,Discuss the concept of a trie data structure and its applications in real-world scenarios.,DSA
136,Describe a situation where you had to handle a difficult team member to achieve a project goal.,Behavioural
137,How does AI contribute to traffic management in smart cities?,AI
138,Discuss the considerations for designing a system that supports real-time collaboration features.,System_design
139,How does the Boyer-Moore algorithm improve string matching efficiency by skipping unnecessary comparisons?,DSA
140,Discuss the differences between a heap and a binary search tree in terms of their properties and use cases.,DSA
141,How do you handle database indexing in a system to optimize query performance?,System_design
142,What is the role of the Apriori algorithm in market basket analysis?,AI
143,Discuss the differences between a max heap and a min heap in terms of their properties and use cases.,DSA
144,Can you explain your approach to designing a system with a circuit breaker pattern for fault tolerance?,System_design
145,"What are the key characteristics of a dynamic programming approach, and how does it differ from a greedy approach?",DSA
146,"Define the term ""database schema"" and explain its role in organizing and structuring database objects.",CS_fundamentals
147,How does the Multilevel Queue scheduling algorithm work?,CS_fundamentals
148,How do you handle database connection pooling in a system to ensure optimal resource utilization?,System_design
149,Discuss a situation where you had to handle a project with tight timelines and limited resources.,Behavioural
150,What is the purpose of the SQL WHERE clause in database queries?,CS_fundamentals
151,Explain the difference between a process and a thread.,CS_fundamentals
152,Can you give an example of when you had to deal with a difficult decision-making process within your team?,Behavioural
153,How does a system call differ from a normal function call?,CS_fundamentals
154,Discuss the differences between a priority queue and a regular queue in terms of their properties and use cases.,DSA
155,Describe the working principle of the Word2Vec model.,AI
156,Discuss the differences between a linked list and an array in terms of memory usage and performance.,DSA
157,What factors guide your decision-making process when choosing a database for a particular system?,System_design
158,"Define the term ""model interpretability"" in AI.",AI
159,Describe the functionality of the FAT32 file system.,CS_fundamentals
160,What is the purpose of a network gateway?,CS_fundamentals
161,Explain the concept of a virtual IP address.,CS_fundamentals
162,"Define the terms ""thrashing"" and ""working set"" in memory management.",CS_fundamentals
163,Can you outline the steps involved in designing a system with a message-driven architecture?,System_design
164,How does AI contribute to personalized marketing?,AI
165,How does text summarization work in NLP?,AI
166,Explain the working principles of the Ford-Fulkerson algorithm and its applications in solving the maximum flow problem.,DSA
167,Can you share an example of a situation where you had to think on your feet to solve a problem?,Behavioural
168,Describe the k-means clustering algorithm and its advantages.,AI
169,Discuss a project where you had to work with limited resources. How did you ensure success?,Behavioural
170,Describe the purpose of the DELETE statement in SQL.,CS_fundamentals
171,Explain the concept of hyperparameter tuning in machine learning.,AI
172,Explain the concept of database normalization and its drawbacks.,CS_fundamentals
173,Tell me about a time when you had to navigate through office politics to achieve a goal.,Behavioural
174,Define the concept of a race condition in concurrent programming.,CS_fundamentals
175,Explain the concept of a suffix array and its applications in string processing and pattern matching.,DSA
176,How would you design a system to handle data compression for efficient storage and transmission?,System_design
177,How do you handle situations where you need to give constructive feedback to a colleague?,Behavioural
178,Discuss the differences between a depth-first search (DFS) and breadth-first search (BFS) in terms of their applications and advantages.,DSA
179,Describe a moment when you had to lead a team through a significant change initiative.,Behavioural
180,"How does the AVL tree ensure balance during insertions and deletions, and what is its impact on search operations?",DSA
181,What is the purpose of a process address space in an operating system?,CS_fundamentals
182,"Define the term ""subnet mask"" in IP addressing.",CS_fundamentals
183,Describe a project where you had to meet high expectations with limited resources.,Behavioural
184,Explain the principles behind the Rabin-Karp string search algorithm.,DSA
185,How does the Prim's algorithm ensure that the constructed minimum spanning tree spans all vertices in a connected graph?,DSA
186,Describe the working principle of the decision tree algorithm.,AI
187,How does the random forest algorithm handle overfitting?,AI
188,Tell me about a time when you successfully implemented a new process or procedure.,Behavioural
189,Can you share an example of when you had to manage a project with competing priorities and tight deadlines?,Behavioural
190,Can you share an example of when you had to manage a project with rapidly changing requirements?,Behavioural
191,Discuss the differences between a depth-first search (DFS) and breadth-first search (BFS) in terms of their applications and advantages.,DSA
192,Discuss the challenges and solutions for ensuring data privacy in a system that processes personal information.,System_design
193,What is a process control block (PCB) in operating systems?,CS_fundamentals
194,Explain the concept of memoization in the context of dynamic programming.,DSA
195,Describe the impact of AI on privacy concerns.,AI
196,What is the role of AI in agricultural optimization?,AI
197,How does the Working Set Model contribute to page replacement policies?,CS_fundamentals
198,"How does the Dijkstra's algorithm handle graphs with negative weight edges, and what are the limitations?",DSA
199,"Define the term ""ACID properties"" in the context of databases.",CS_fundamentals
200,Describe a moment when you had to navigate through office politics to achieve a goal.,Behavioural
201,What factors influence your decision on using a relational database vs. a document store for specific use cases?,System_design
202,Explain the working principles of the Ford-Fulkerson algorithm for solving the maximum flow problem in a flow network.,DSA
203,Explain the concept of a suffix array and its applications in string processing and pattern matching.,DSA
204,"Define the term ""IP address"" and explain its structure.",CS_fundamentals
205,What is the role of the support vector machine (SVM) algorithm in image classification?,AI
206,Explain the concept of AI in neuroimaging.,AI
207,How do you handle database connection pooling in a system to ensure optimal resource utilization?,System_design
208,Discuss the principles behind the Aho-Corasick algorithm and its applications in multiple pattern matching.,DSA
209,How do you handle database connection pooling in a system to ensure optimal resource utilization?,System_design
210,Describe the working principles of the Boyer-Moore-Horspool string search algorithm and analyze its time complexity.,DSA
211,"What is the significance of the term ""Dijkstra's algorithm,"" and how does it work?",DSA
212,Explain the working principle of the decision tree algorithm.,AI
213,Describe a moment when you had to lead a team through a period of uncertainty or change.,Behavioural
214,Explain the purpose of the swap space in the Linux operating system.,CS_fundamentals
215,What is the role of the page table in virtual memory?,CS_fundamentals
216,Explain the concept of a skip list data structure and discuss its advantages in terms of simplicity and efficiency.,DSA
217,What is the significance of AI ethics?,AI
218,How does AI contribute to wildlife conservation?,AI
219,What factors influence your decision on using a RESTful API vs. a GraphQL API in a system?,System_design
220,"What is the purpose of a self-balancing binary search tree, and how does it maintain balance during insertions and deletions?",DSA
221,Can you give an example of when you had to manage a project with tight timelines and limited resources?,Behavioural
222,How does the SQL GROUP BY clause aggregate data in queries?,CS_fundamentals
223,Discuss the principles behind the Rabin-Karp algorithm for multiple pattern matching in a given text.,DSA
224,How does the Rabin-Karp algorithm efficiently handle multiple pattern matching in a given text?,DSA
225,How does the Banker's algorithm prevent deadlock in resource allocation?,CS_fundamentals
226,How does AI contribute to recommendation systems?,AI
227,Describe the functionality of the OSI model's Network layer.,CS_fundamentals
228,Can you explain your approach to designing a system with a circuit breaker pattern for fault tolerance?,System_design
229,Describe the working principle of the GloVe (Global Vectors for Word Representation) model.,AI
230,"How does the Bellman-Ford algorithm handle graphs with negative weight cycles, and what are the implications?",DSA
231,Tell me about a time when you had to deliver difficult feedback to a colleague or subordinate.,Behavioural
232,Explain the role of system calls in an operating system.,CS_fundamentals
233,Describe the functionality of the OSI model's Network layer.,CS_fundamentals
234,How do you handle database indexing in a system to optimize query performance?,System_design
235,How does indexing improve database performance?,CS_fundamentals
236,Explain the concept of sentiment analysis in healthcare reviews.,AI
237,Discuss the differences between a binary tree and a binary search tree. What advantages does a BST offer?,DSA
238,What factors influence your decision on using a RESTful API vs. a GraphQL API in a system?,System_design
239,Discuss the differences between a max heap and a min heap in terms of their properties and use cases.,DSA
240,Explain the working principles of the Floyd-Warshall algorithm for finding all pairs shortest path in a graph.,DSA
241,"What is the role of the Bellman-Ford algorithm in finding the shortest path in a graph, and how does it handle negative weight edges?",DSA
242,Describe the challenges of bias in facial recognition technology.,AI
243,Explain the principles behind designing a system with a self-healing architecture.,System_design
244,How do you design a system to handle data migration without disrupting ongoing operations?,System_design
245,Explain the concept of a suffix array and its applications in string processing and pattern matching.,DSA
246,Discuss the differences between the breadth-first search (BFS) and depth-first search (DFS) traversal in a tree.,DSA
247,Explain the differences between arrays and linked lists. In what scenarios would you prefer one over the other?,DSA
248,Can you outline the steps involved in designing a system with a modular architecture?,System_design
249,Explain the concept of cross-domain sentiment analysis in NLP.,AI
250,Discuss the challenges and solutions for ensuring data privacy in a system that processes personal information.,System_design
251,Discuss the concept of time complexity and space complexity in algorithm analysis.,DSA
252,Discuss the differences between a depth-first search (DFS) and breadth-first search (BFS) in terms of their applications and advantages.,DSA
253,Discuss the considerations for designing a system that supports real-time data analytics.,System_design
254,Tell me about a time when you demonstrated strong leadership skills.,Behavioural
255,Discuss the concept of recursion and provide an example of a recursive algorithm.,DSA
256,Explain the concept of sentiment analysis and its applications in social media.,AI
257,How do you handle situations where you need to work with colleagues who have different work styles?,Behavioural
258,What measures would you take to ensure data integrity in a system with eventual consistency?,System_design
259,What is the significance of the SQL HAVING clause in queries?,CS_fundamentals
260,"Define the term ""artificial neural network.""",AI
261,Explain the concept of logistic regression and its limitations.,AI
262,Describe a project where you had to lead a team to achieve a goal despite external challenges.,Behavioural
263,Discuss a situation where you had to handle a challenging decision within your team.,Behavioural
264,Discuss the advantages and disadvantages of using a recursive vs. an iterative approach in algorithm design.,DSA
265,Describe the challenges of handling domain-specific language in NLP.,AI
266,Discuss a situation where you had to handle a project with rapidly changing requirements.,Behavioural
267,Describe a project where you had to lead a team to achieve a goal despite external challenges.,Behavioural
268,What measures would you take to prevent and mitigate security vulnerabilities in a system?,System_design
269,Explain the concept of a skip list data structure and discuss its advantages in terms of simplicity and efficiency.,DSA
270,What is the purpose of the SQL SELECT statement in queries?,CS_fundamentals
271,Explain the principles behind designing a system with a reactive microservices architecture.,System_design
272,Describe the support vector machine (SVM) algorithm and its applications.,AI
273,How does a switch differ from a hub in a computer network?,CS_fundamentals
274,Discuss the differences between a linked list and an array in terms of memory usage and performance.,DSA
275,Describe the challenges of ethical AI in military applications.,AI
276,How would you design a system to handle data compression for efficient storage and transmission?,System_design
277,What is the role of named entity recognition (NER) in fraud detection?,AI
278,What measures would you take to ensure data consistency in a system with eventual consistency?,System_design
279,Describe a situation where you had to meet a tight deadline. How did you approach it?,Behavioural
280,Explain the concept of a MAC address in networking.,CS_fundamentals
281,Describe the working principles of the Kruskal's algorithm for finding a minimum spanning tree in a connected graph.,DSA
282,What is the significance of the BERT (Bidirectional Encoder Representations from Transformers) model in NLP?,AI
283,Explain the principles behind the Rabin-Karp algorithm and its applications in multiple pattern matching.,DSA
284,Explain the concept of semi-supervised learning in machine learning.,AI
285,What strategies would you employ to optimize the performance of database queries in a high-traffic system?,System_design
286,Discuss the key characteristics of a trie data structure and its advantages in searching and indexing.,DSA
287,How would you design a system to handle user authentication and authorization securely?,System_design
288,Discuss the differences between a heap and a binary search tree in terms of their properties and applications.,DSA
289,What is the impact of AI on job automation?,AI
290,Explain the concept of database triggers and their use cases.,CS_fundamentals
291,What is the purpose of QoS (Quality of Service) in networking?,CS_fundamentals
292,Can you outline the steps involved in designing a system with a polyglot programming language approach?,System_design
293,How does the SQL DISTINCT keyword work in query results?,CS_fundamentals
294,"How does the Bellman-Ford algorithm handle graphs with negative weight cycles, and what are the implications?",DSA
295,Tell me about a time when you had to navigate through office politics to achieve a goal.,Behavioural
296,"What is the purpose of a hash table, and how does it handle collisions to maintain efficient lookup times?",DSA
297,Describe a project where you had to manage conflicting priorities between team members.,Behavioural
298,Tell me about a time when you successfully implemented a new process or procedure.,Behavioural
299,What is the purpose of DNS (Domain Name System)?,CS_fundamentals
300,Discuss the considerations for designing a system that supports real-time data analytics.,System_design
301,Can you explain your approach to designing a system with a circuit breaker pattern for fault tolerance?,System_design
302,How do you handle situations where you need to collaborate with colleagues from different departments?,Behavioural
303,What factors influence your decision on using a RESTful API vs. a GraphQL API in a system?,System_design
304,Explain the principles behind designing a system with a stateless architecture.,System_design
305,Discuss the differences between a heap and a binary search tree in terms of their properties and applications.,DSA
306,How does a router function in a computer network?,CS_fundamentals
307,Describe the principles behind the Dijkstra's algorithm and how it ensures the shortest path in a weighted graph.,DSA
308,How does the SQL DELETE statement remove data from a database table?,CS_fundamentals
309,Describe a situation where you had to handle a difficult decision-making process.,Behavioural
310,Explain the concept of adversarial attacks in AI.,AI
311,How does the LRU-K algorithm enhance the traditional LRU algorithm?,CS_fundamentals
312,How does transfer learning work in machine learning?,AI
313,Discuss the role of a service registry in a microservices architecture and its impact on service discovery.,System_design
314,What measures would you take to ensure data integrity in a system with eventual consistency?,System_design
315,Explain the concept of database replication and its advantages.,CS_fundamentals
316,What is the purpose of the SQL DISTINCT keyword in eliminating duplicate rows from query results?,CS_fundamentals
317,"Define the term ""routing table"" in networking.",CS_fundamentals
318,Describe a moment when you had to lead a team through a period of uncertainty or change.,Behavioural
319,Tell me about a situation where you had to adapt to unexpected changes. How did you handle it?,Behavioural
320,Discuss the challenges and solutions for ensuring data privacy in a system that processes personal information.,System_design
321,Explain the concept of a trie data structure and its applications in efficient string searching and indexing.,DSA
322,"What is the purpose of a topological sort in directed acyclic graphs, and how is it applied in real-world scenarios?",DSA
323,Discuss a situation where you had to handle a difficult conversation with a colleague or team member.,Behavioural
324,Describe a moment when you successfully resolved a conflict between team members.,Behavioural
325,How do you design a system to handle data archiving and purging for efficient storage management?,System_design
326,How does sentiment analysis assist in employee feedback analysis?,AI
327,How does the support vector machine (SVM) algorithm work?,AI
328,Explain the difference between voluntary and involuntary context switches.,CS_fundamentals
329,How does the KMP algorithm efficiently handle string matching by avoiding unnecessary comparisons?,DSA
330,Explain the concept of database normalization and its drawbacks.,CS_fundamentals
331,Tell me about a time when you had to collaborate with a team member who had a different work style.,Behavioural
332,Tell me about a time when you had to collaborate with a team member who had a different work style.,Behavioural
333,Discuss the differences between a max heap and a min heap in terms of their properties and use cases.,DSA
334,Discuss the considerations for designing a system that supports real-time data analytics.,System_design
335,Describe the working principle of the BERT (Bidirectional Encoder Representations from Transformers) model.,AI
336,Describe the working principle of the ELMo (Embeddings from Language Models) model.,AI
337,Explain the concept of a self-balancing red-black tree and its advantages in search and retrieval operations.,DSA
338,How does AI contribute to mental health diagnosis and support?,AI
339,Discuss the differences between a depth-first search (DFS) and breadth-first search (BFS) in terms of their applications and advantages.,DSA
340,Explain the concept of a pipe in Unix-like operating systems.,CS_fundamentals
341,Describe a moment when you had to lead a team through a significant change initiative.,Behavioural
342,What is the significance of the principal component analysis (PCA) algorithm in dimensionality reduction?,AI
343,Discuss the differences between a binary tree and a binary search tree. What advantages does a BST offer?,DSA
344,"How does the Bellman-Ford algorithm handle graphs with negative weight cycles, and what are the implications?",DSA
345,Describe the concept of database normalization.,CS_fundamentals
346,Explain the difference between TCP and UDP.,CS_fundamentals
347,Tell me about a time when you had to lead a team through a period of uncertainty or change.,Behavioural
348,What is the role of the SQL INSERT statement in databases?,CS_fundamentals
349,How does the decision tree algorithm handle missing data?,AI
350,How do you handle situations where you need to give constructive feedback to a colleague?,Behavioural
351,Describe the concept of database views and their role in simplifying complex queries.,CS_fundamentals
352,How do you ensure data privacy and compliance with regulations in a system that processes sensitive information?,System_design
353,Explain the working principle of the logistic regression algorithm.,AI
354,Discuss the differences between a heap and a binary search tree in terms of their properties and applications.,DSA
355,What measures would you take to ensure data consistency in a system with eventual consistency?,System_design
356,Describe the concept of database constraints.,CS_fundamentals
357,Explain the concept of AI in wildlife monitoring.,AI
358,"Define the term ""TCP/IP"" and explain its significance.",CS_fundamentals
359,Discuss the key characteristics of a trie data structure and its advantages in searching and indexing.,DSA
360,Describe the functionality of the OSI model's Physical layer.,CS_fundamentals
361,"How does the Dijkstra's algorithm handle graphs with negative weight edges, and what are the limitations?",DSA
362,Explain the concept of ensemble learning and its benefits.,AI
363,"Define the term ""deep learning"" and provide examples.",AI
364,Explain the working principles of the Kosaraju's algorithm for finding strongly connected components in a directed graph.,DSA
365,Explain the k-nearest neighbors (KNN) algorithm and its advantages.,AI
366,Can you outline the steps involved in designing a system for real-time data processing?,System_design
367,"Define the term ""database view"" and explain its advantages.",CS_fundamentals
368,"How do hash functions work, and what are some key considerations when designing a good hash function?",DSA
369,"Define the term ""explainability"" in the context of AI models.",AI
370,How does a VLAN (Virtual Local Area Network) improve network organization?,CS_fundamentals
371,What is the significance of AI in drug discovery?,AI
372,Can you explain your approach to designing a system with a distributed file storage solution?,System_design
373,How does AI contribute to virtual assistants?,AI
374,Tell me about a time when you had to handle a difficult conversation with a colleague or team member.,Behavioural
375,Tell me about a time when you successfully implemented a new process or procedure.,Behavioural
376,Discuss the differences between a priority queue and a regular queue in terms of their properties and use cases.,DSA
377,Explain the concept of ensemble learning and its limitations.,AI
378,How do you handle database indexing in a system to optimize query performance?,System_design
379,Can you outline the steps involved in designing a system with a polyglot programming language approach?,System_design
380,Describe a situation where you had to go above and beyond your normal duties to get a job done.,Behavioural
381,"Define the term ""firewall"" and explain its role in network security.",CS_fundamentals
382,How would you design a system to handle data compression for efficient storage and transmission?,System_design
383,What factors influence your decision between synchronous and asynchronous communication in a distributed system?,System_design
384,How does machine translation contribute to cultural understanding?,AI
385,How does the FIFO (First-In-First-Out) algorithm work in page replacement?,CS_fundamentals
386,"Define the term ""data integrity"" in the context of databases.",CS_fundamentals
387,Discuss the considerations for designing a system that supports real-time collaboration features.,System_design
388,Explain the concept of named entity recognition (NER) and its challenges in multilingual environments.,AI
389,Tell me about a time when you had to deliver difficult feedback to a team member.,Behavioural
390,Describe a project where you had to lead a team to achieve a goal despite external challenges.,Behavioural
391,Discuss a time when you had to persuade someone to see things from your perspective.,Behavioural
392,How does DHCP (Dynamic Host Configuration Protocol) assign IP addresses?,CS_fundamentals
393,Describe the difference between weak AI and strong AI.,AI
394,What is the difference between a hub and a switch in networking?,CS_fundamentals
395,Describe the working principle of the Doc2Vec model.,AI
396,Explain the principles behind the Rabin-Karp algorithm and its applications in multiple pattern matching.,DSA
397,Explain the concept of a suffix tree and its applications in string processing and pattern matching.,DSA
398,"What are the key characteristics of a trie data structure, and in what scenarios is it particularly useful?",DSA
399,What is the purpose of the OSI model's Session layer?,CS_fundamentals
400,Can you outline the steps involved in designing a system with a polyglot programming language approach?,System_design
401,Discuss the challenges and solutions for ensuring data privacy in a system that processes personal information.,System_design
402,Explain the purpose of a page replacement algorithm.,CS_fundamentals
403,Can you outline the steps involved in designing a system with a polyglot programming language approach?,System_design
404,What factors influence your decision on using a RESTful API vs. a GraphQL API in a system?,System_design
405,Describe a project where you had to manage conflicting priorities between team members.,Behavioural
406,What factors would you consider when selecting a message queue for a distributed system?,System_design
407,Explain the role of a content delivery network (CDN) in system architecture and its impact on performance.,System_design
408,Discuss the differences between a depth-first search (DFS) and breadth-first search (BFS) in terms of their applications and advantages.,DSA
409,What is the significance of the SQL ORDER BY clause in queries?,CS_fundamentals
410,How does text classification work in NLP?,AI
411,Describe the working principles of the Boyer-Moore-Horspool string search algorithm and analyze its time complexity.,DSA
412,Explain the concept of a self-balancing red-black tree and its advantages in search and retrieval operations.,DSA
413,Explain the working principles of the Ford-Fulkerson algorithm and its applications in solving the maximum flow problem.,DSA
414,How does text classification contribute to personalized content recommendation?,AI
415,Discuss the differences between a priority queue and a regular queue in terms of their properties and use cases.,DSA
416,Discuss the principles behind the Aho-Corasick algorithm and its applications in string matching.,DSA
